cluster,original,original_path,duplicate,duplicate_path,affected_elements,original_size,duplicate_size,affected_annotations,original_size_no_annotations,duplicate_size_no_annotations,package_content_movements,relative_change_with_saturation,scenario,final_label
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,29214,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#missingEndif#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,12330,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#invalidExpression#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,20762,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#missingEndifWithElseif#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,3940,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#invalidEndTag#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,21352,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#missingEndifWithElseifElse#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,375,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#invalidInitExpression#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,29114,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#missingEndifWithElse#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,1997,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#missingForTag#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,16465,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#missingVariable#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,22008,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#conditionAlwayFalse#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,2327,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#conditionAlwayTrue#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,10587,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#conditionNotBoolean#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,17925,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#invalidExpressionInHeader#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,14343,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#inHeader#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,5157,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#inTable#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,4133,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#bulletList#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,17999,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#simpleVariable#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,4734,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#inForm#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,15069,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#simpleVariableNotExisting#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,741,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#bulletList#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,5887,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#invalidExpressionNoFollowinfText#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,13584,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#missingExpression#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,14623,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#withNewParagraph#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,21281,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#invalidExpressionInFooter#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,10082,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#inTextArea#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,10160,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#inFooter#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,17400,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#otherBlockEnd#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,28282,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#userDoc#invalidUserDocID#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,23952,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#userDoc#userDocWithQuery#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,8017,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#inferedType#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,17817,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#invalidVariableType#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,19883,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#maskExistingVariable#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,8149,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#notACollection#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,6321,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#customService#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,20981,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#query#customServiceManyImport#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,22687,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#let#missingVariableName#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,1325,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#let#nominal#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,2358,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#let#missingExpression#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,11092,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#let#missingEquals#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,7302,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#conditionNotOnlyBoolean#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,25764,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#conditional#inferedTypeInThen#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
